"YEAR","MONTH","CITY","COUNT"
1952,11,"TORONTO",48
1952,10,"OTTAWA",6
1952,10,"TORONTO",28
1952,9,"HAMILTON",7
1952,9,"OTTAWA",6
1952,9,"TORONTO",40
1953,4,"TORONTO",19
1953,8,"OTTAWA",6
1953,8,"TORONTO",24
1953,12,"OTTAWA",6
1953,12,"TORONTO",19
1953,2,"TORONTO",18
1953,1,"TORONTO",9
1953,7,"HAMILTON",6
1953,7,"OTTAWA",10
1953,7,"TORONTO",26
1953,6,"HAMILTON",10
1953,6,"TORONTO",47
1953,3,"TORONTO",15
1953,5,"OTTAWA",6
1953,5,"TORONTO",35
1953,11,"TORONTO",21
1953,10,"HAMILTON",11
1953,10,"KINGSTON",6
1953,10,"OTTAWA",8
1953,10,"TORONTO",24
1953,9,"HAMILTON",6
1953,9,"OTTAWA",6
1953,9,"TORONTO",27
1954,4,"TORONTO",20
1954,8,"TORONTO",20
1954,12,"OTTAWA",6
1954,12,"TORONTO",25
1954,2,"TORONTO",14
1954,1,"TORONTO",22
1954,7,"TORONTO",31
1954,6,"HAMILTON",11
1954,6,"TORONTO",38
1954,3,"TORONTO",18
1954,5,"OTTAWA",8
1954,5,"TORONTO",19
1954,11,"TORONTO",25
1954,10,"OTTAWA",12
1954,10,"TORONTO",40
1954,9,"OTTAWA",7
1954,9,"TORONTO",36
1955,4,"OTTAWA",8
1955,4,"TORONTO",23
1955,8,"HAMILTON",6
1955,8,"TORONTO",33
1955,12,"OTTAWA",13
1955,12,"TORONTO",24
1955,2,"TORONTO",15
1955,1,"TORONTO",17
1955,7,"HAMILTON",6
1955,7,"OTTAWA",6
1955,7,"TORONTO",28
1955,6,"OTTAWA",12
1955,6,"TORONTO",30
1955,3,"TORONTO",12
1955,5,"TORONTO",19
1955,11,"OTTAWA",6
1955,11,"TORONTO",25
1955,10,"HAMILTON",8
1955,10,"OTTAWA",10
1955,10,"TORONTO",28
1955,9,"HAMILTON",8
1955,9,"TORONTO",30
1956,4,"TORONTO",33
1956,8,"OTTAWA",7
1956,8,"TORONTO",18
1956,12,"HAMILTON",6
1956,12,"OTTAWA",8
1956,12,"TORONTO",35
1956,2,"TORONTO",21
1956,1,"TORONTO",11
1956,7,"TORONTO",27
1956,6,"OTTAWA",12
1956,6,"TORONTO",34
1956,6,"YORK",9
1956,3,"TORONTO",24
1956,5,"HAMILTON",8
1956,5,"OTTAWA",8
1956,5,"TORONTO",35
1956,11,"TORONTO",22
1956,10,"HAMILTON",7
1956,10,"TORONTO",49
1956,9,"HAMILTON",7
1956,9,"OTTAWA",14
1956,9,"ST CATHARINES",6
1956,9,"TORONTO",45
1957,4,"TORONTO",16
1957,8,"HAMILTON",7
1957,8,"TORONTO",41
1957,12,"HAMILTON",6
1957,12,"TORONTO",27
1957,2,"TORONTO",15
1957,1,"TORONTO",18
1957,7,"TORONTO",37
1957,6,"HAMILTON",8
1957,6,"OTTAWA",12
1957,6,"TORONTO",38
1957,6,"WINDSOR",7
1957,3,"HAMILTON",6
1957,3,"TORONTO",19
1957,5,"HAMILTON",10
1957,5,"OTTAWA",10
1957,5,"TORONTO",21
1957,5,"WINDSOR",6
1957,11,"OTTAWA",6
1957,11,"TORONTO",27
1957,10,"HAMILTON",9
1957,10,"OTTAWA",7
1957,10,"TORONTO",37
1957,9,"OTTAWA",9
1957,9,"TORONTO",36
1958,4,"TORONTO",26
1958,8,"OTTAWA",10
1958,8,"TORONTO",40
1958,12,"TORONTO",40
1958,2,"TORONTO",32
1958,1,"TORONTO",30
1958,7,"HAMILTON",6
1958,7,"OTTAWA",11
1958,7,"TORONTO",33
1958,6,"HAMILTON",8
1958,6,"OTTAWA",14
1958,6,"TORONTO",44
1958,3,"TORONTO",20
1958,5,"HAMILTON",8
1958,5,"OTTAWA",10
1958,5,"TORONTO",31
1958,11,"OTTAWA",7
1958,11,"TORONTO",46
1958,10,"OTTAWA",8
1958,10,"TORONTO",34
1958,9,"HAMILTON",7
1958,9,"OTTAWA",10
1958,9,"TORONTO",39
1959,4,"TORONTO",29
1959,8,"HAMILTON",6
1959,8,"OTTAWA",10
1959,8,"TORONTO",21
1959,12,"OTTAWA",6
1959,12,"TORONTO",21
1959,2,"TORONTO",25
1959,1,"TORONTO",29
1959,7,"HAMILTON",8
1959,7,"TORONTO",36
1959,6,"OTTAWA",8
1959,6,"TORONTO",48
1959,3,"TORONTO",21
1959,5,"HAMILTON",6
1959,5,"LONDON",7
1959,5,"OTTAWA",6
1959,5,"TORONTO",41
1959,5,"WINDSOR",9
1959,11,"OTTAWA",7
1959,11,"TORONTO",30
1959,10,"HAMILTON",10
1959,10,"NORTH YORK",7
1959,10,"TORONTO",40
1959,9,"HAMILTON",7
1959,9,"OTTAWA",11
1959,9,"TORONTO",46
1959,9,"WINDSOR",7
1960,4,"AURORA",6
1960,4,"AYLMER",11
1960,4,"BANCROFT",7
1960,4,"BARRIE",18
1960,4,"BELLEVILLE",25
1960,4,"BOWMANVILLE",8
1960,4,"BRAMPTON",9
1960,4,"BRANTFORD",54
1960,4,"BROCKVILLE",10
1960,4,"BURLINGTON",16
1960,4,"CHATHAM",26
1960,4,"CLINTON",9
1960,4,"CORNWALL",31
1960,4,"DELHI",7
1960,4,"DRYDEN",9
1960,4,"DUNDAS",11
1960,4,"E YORK TWP",9
1960,4,"EASTVIEW",14
1960,4,"ELLIOT LAKE",9
1960,4,"ESPANOLA",7
1960,4,"ESSEX",7
1960,4,"ETOBICOKE TWP",34
1960,4,"EXETER",7
1960,4,"FORT FRANCES",8
1960,4,"FORT WILLIAM",21
1960,4,"GALT",14
1960,4,"GANANOQUE",8
1960,4,"GEORGETOWN",6
1960,4,"GUELPH",19
1960,4,"HAMILTON",206
1960,4,"KAPUSKASING",9
1960,4,"KINGSTON",40
1960,4,"KINGSVILLE",6
1960,4,"KITCHENER",44
1960,4,"LEAMINGTON",12
1960,4,"LEASIDE",7
1960,4,"LINDSAY",6
1960,4,"LONDON",98
1960,4,"LONG BRANCH",9
1960,4,"MIMICO",17
1960,4,"N YORK TWP",52
1960,4,"NEWMARKET",7
1960,4,"NIAGARA FALLS",39
1960,4,"NORTH BAY",30
1960,4,"OAKVILLE",11
1960,4,"ORILLIA",7
1960,4,"OSHAWA",36
1960,4,"OTTAWA",166
1960,4,"OWEN SOUND",12
1960,4,"PARIS",6
1960,4,"PARRY SOUND",8
1960,4,"PEMBROKE",10
1960,4,"PETERBOROUGH",29
1960,4,"PORT ARTHUR",40
1960,4,"PORT COLBORNE",17
1960,4,"PORT CREDIT",6
1960,4,"PORT HOPE",7
1960,4,"RICHMOND HILL",8
1960,4,"SALTFLEET TWP",6
1960,4,"SANDWICH W TWP",7
1960,4,"SARNIA",35
1960,4,"SAULT STE MARIE",52
1960,4,"SCARBOROUGH TWP",46
1960,4,"SIMCOE",8
1960,4,"SIOUX LOOKOUT",6
1960,4,"SMITHS FALLS",6
1960,4,"ST CATHARINES",53
1960,4,"ST THOMAS",23
1960,4,"STAMFORD TWP",6
1960,4,"STRATFORD",15
1960,4,"STRATHROY",8
1960,4,"STURGEON FALLS",7
1960,4,"SUDBURY",54
1960,4,"SWANSEA",7
1960,4,"TECK TWP",10
1960,4,"THISTLETOWN",7
1960,4,"TILLSONBURG",7
1960,4,"TIMMINS",11
1960,4,"TORONTO",936
1960,4,"TORONTO TWP",12
1960,4,"TRENTON",13
1960,4,"WALLACEBURG",7
1960,4,"WATERLOO",6
1960,4,"WELLAND",25
1960,4,"WESTON",12
1960,4,"WHITBY",9
1960,4,"WINDSOR",100
1960,4,"WOODSTOCK",12
1960,4,"YORK TWP",38
1960,8,"ANCASTER TWP",6
1960,8,"BARRIE",20
1960,8,"BELLEVILLE",23
1960,8,"BLENHEIM",7
1960,8,"BOWMANVILLE",9
1960,8,"BRAMPTON",13
1960,8,"BRANTFORD",46
1960,8,"BRIGHTON",6
1960,8,"BROCKVILLE",14
1960,8,"BURLINGTON",28
1960,8,"CALVERT TWP",8
1960,8,"CHATHAM",33
1960,8,"CHELMSFORD",6
1960,8,"CLINTON",6
1960,8,"COBOURG",11
1960,8,"COCHRANE",10
1960,8,"COLLINGWOOD",6
1960,8,"COPPER CLIFF",8
1960,8,"CORNWALL",44
1960,8,"DUNDAS",11
1960,8,"E YORK TWP",9
1960,8,"EASTVIEW",22
1960,8,"ELLIOT LAKE",8
1960,8,"ESPANOLA",7
1960,8,"ETOBICOKE TWP",34
1960,8,"FORT ERIE",10
1960,8,"FORT FRANCES",9
1960,8,"FORT WILLIAM",41
1960,8,"GALT",14
1960,8,"GANANOQUE",6
1960,8,"GRIMSBY",6
1960,8,"GUELPH",30
1960,8,"HAMILTON",163
1960,8,"HANOVER",6
1960,8,"HAWKESBURY",13
1960,8,"INGERSOLL",6
1960,8,"KAPUSKASING",8
